talent_name,channel_id,channel_title_api,match_ok,manager_name,channel_type,is_active
花鋏キョウ,UC4OeUf_KfYRrwksschtRYow,花鋏キョウ*Kyo Hanabasami,ok,Manzoku,main,TRUE
獅子神レオナ,UCB1s_IdO-r0nUkY2mXeti-A,獅子神レオナ/レオナちゃんねる,ok,Manzoku,main,TRUE
水瓶ミア,UCpPuEfqwYbpn7e2jWdQeWew,水瓶ミア/ミアちゃんねる,ok,Manzoku,main,TRUE
夢川かなう,UCDQkIK-Md2XDbDWN4nKyzIQ,夢川かなう - Kanau Yumekawa,ok,Manzoku,main,TRUE
夢川かなう(新),UC8jskpQfW9fn2NLK3PdaGdg,夢川かなう/Kanau ch,ok,Manzoku,main,TRUE
天川はの,UCxJ9SJLG7dA00M7VoEe4ltw,天川はの/AmakawaHano,ok,Katabami,main,TRUE
丸餅つきみ,UCTEZGNJDqv-isWSPRsEhnRA,Marumochi Tsukimi / 丸餅つきみ,ok,Manzoku,main,TRUE
月紫アリア,UC5XQhzMH08PgWa4Zp02Gcsw,月紫アリア / Tsukushi Aria,ok,Katabami,main,TRUE
猫乃ユキノ,UCoFEbNyIRUS26-hf2AucwFw,猫乃ユキノ／NekonoYukino,ok,Shiratori,main,TRUE
九楽ライ,UCxLgvntienV0kwNLxrbcmyQ,Kulaku Lie ch.九楽ライ,ok,Graduated,main,TRUE
皇ロゼ,UCVbRXkQP-LumaBzfw-wsrrg,皇ロゼ／SumeragiRose ch,ok,Manzoku,main,TRUE
魔光リサ,UCDrG8pzkq_cCCLcN5wgrzNw,魔光リサ - Lisa Makoh -,ok,Shiratori,main,TRUE
稀羽すう,UCeqIMtLuGc3YgwkhEaG8oDg,稀羽すう - Suu Usuwa -,ok,Katabami,main,TRUE
ククルア・クレイユ,UCIueYPQm6sk8oaKxq0hSjyQ,【活動終了】ククルア・クレイユ - Coucourua Creil -,ok,Graduated,main,TRUE
音伽ねむ,UCi6nuuHhOj_usxkjlcHdRXw,音伽ねむ - Nemu Otogi -,ok,Shiratori,main,TRUE
白音ゆき,UCcD_EdnJcOjJMohDn435D3w,白音ゆき-Shirane Yuki-,ok,Nagai,main,TRUE
杏夜くもり,UCHnbtVLZYGuKkGh6iFxxTpw,杏夜 くもり - Anya Kumori -,ok,Nagai,main,TRUE
レイラ・サマ,UCSw8TAyNIuPZc6gZqRKnO6A,レイラ・サマ-Layla Sama-,ok,Nagai,main,TRUE
神凪アンナ,UCvuAdWg_I8U9kwVGZ4XLvog,神凪アンナ - Kannagi Anna - ,ok,Nagai,main,TRUE
音羽奏來,UC9XsF9M7lZ1BSABHjKatOSA,音羽奏來 - Otoha Sora - ,ok,Nagai,main,TRUE
鈴花いのり,UCoY9O-RYuBYHNf41pgQHCnw,鈴花いのり - Suzuhana Inori -,ok,Takaichi,main,TRUE
燈明寺かぐら,UC8W8jZ1P9bhJFYLelr3EvIQ,燈明寺かぐら - Tomyoji Kagura -,ok,Takaichi,main,TRUE
不知名イヲ,UC1yZAPWNLVtfCX43IQS0gTA,不知名イヲ - Shirazuna Iwo - ,ok,Takaichi,main,TRUE
kototo!,UCpgM2Ycx8WC8eRNxGAL2i3Q,kototo!,ok,Takaichi,main,TRUE
彩雲のの,UCVKWgVm8BSlMkGZIDGaoElw,彩雲のの,ok,Nagai,main,TRUE
